Round,Pick #,Expected Board Slot,Strategy,Option #,Player,Team,Pos,Rank,R,HR,RBI,SB,AVG,OPS,ERA,WHIP,K/9,QS,SV,W
1,12,11,Anchor bat or ace (best value at turn),1,Ronald Acuna Jr.,ATL,OF,6,109,31,84,24,0.286,0.892,,,,,,
,,,,2,Elly De La Cruz,CIN,SS,7,83,23,82,38,0.263,0.807,,,,,,
,,,,3,Tarik Skubal,DET,SP,8,,,,,,,2.79,1.02,10.9,23,0,14
,,,,4,Julio Rodriguez,SEA,OF,9,85,30,91,23,0.275,0.825,,,,,,
,,,,5,Kyle Tucker,LAD,OF/DH,10,90,27,78,18,0.269,0.867,,,,,,
,,,,6,Fernando Tatis Jr.,SD,OF,12,96,30,82,23,0.275,0.862,,,,,,
,,,,7,Gunnar Henderson,BAL,SS,13,101,28,84,24,0.275,0.846,,,,,,
,,,,8,Corbin Carroll,ARI,OF,15,96,27,81,33,0.261,0.847,,,,,,
,,,,9,Vladimir Guerrero Jr.,TOR,1B/DH,17,94,32,99,5,0.297,0.914,,,,,,
,,,,10,Kyle Schwarber,PHI,OF/DH,19,97,39,90,6,0.231,0.852,,,,,,
,,,,11,Cal Raleigh,SEA,C/DH,20,89,38,91,8,0.230,0.818,,,,,,
,,,,12,Jazz Chisholm Jr.,NYY,2B/3B,22,70,26,72,27,0.240,0.763,,,,,,

2,13,12,Double-tap category strength (power/speed/ace),1,Elly De La Cruz,CIN,SS,7,83,23,82,38,0.263,0.807,,,,,,
,,,,2,Tarik Skubal,DET,SP,8,,,,,,,2.79,1.02,10.9,23,0,14
,,,,3,Julio Rodriguez,SEA,OF,9,85,30,91,23,0.275,0.825,,,,,,
,,,,4,Kyle Tucker,LAD,OF/DH,10,90,27,78,18,0.269,0.867,,,,,,
,,,,5,Fernando Tatis Jr.,SD,OF,12,96,30,82,23,0.275,0.862,,,,,,
,,,,6,Gunnar Henderson,BAL,SS,13,101,28,84,24,0.275,0.846,,,,,,
,,,,7,Corbin Carroll,ARI,OF,15,96,27,81,33,0.261,0.847,,,,,,
,,,,8,Vladimir Guerrero Jr.,TOR,1B/DH,17,94,32,99,5,0.297,0.914,,,,,,
,,,,9,Kyle Schwarber,PHI,OF/DH,19,97,39,90,6,0.231,0.852,,,,,,
,,,,10,Cal Raleigh,SEA,C/DH,20,89,38,91,8,0.230,0.818,,,,,,
,,,,11,Jazz Chisholm Jr.,NYY,2B/3B,22,70,26,72,27,0.240,0.763,,,,,,
,,,,12,Trea Turner,PHI,SS,23,86,18,65,26,0.281,0.774,,,,,,

3,36,35,Secure SP1/SP2 or elite middle infield,1,Brent Rooker,ATH,OF/DH,36,82,30,91,5,0.258,0.820,,,,,,
,,,,2,Logan Gilbert,SEA,SP,38,,,,,,,3.40,1.10,9.8,16,0,11
,,,,3,Chris Sale,ATL,SP,39,,,,,,,3.19,1.09,11.0,18,0,12
,,,,4,Rafael Devers,SF,1B/DH,41,82,29,84,2,0.248,0.810,,,,,,
,,,,5,Wyatt Langford,TEX,OF,42,78,22,69,19,0.256,0.806,,,,,,
,,,,6,Mookie Betts,LAD,SS,43,84,22,79,8,0.274,0.823,,,,,,
,,,,7,Logan Webb,SF,SP,44,,,,,,,3.32,1.21,8.5,21,0,13
,,,,8,Jacob deGrom,TEX,SP,45,,,,,,,3.52,1.10,10.4,17,0,11
,,,,9,Max Fried,NYY,SP,46,,,,,,,3.28,1.21,8.5,20,0,13
